Id, Latitude, Longitude, X, Y
942737358,39.6143016,52.5700432,4409843.88224316,6869906.27529658
942737400,39.6239729,52.5762441,4410920.48643447,6871039.25612579
993802490,39.6120747,52.5941919,4409595.98486912,6874319.44817464
1010660965,39.6180168,52.5734998,4410257.45641536,6870537.81884241
1010676035,39.6073512,52.5793328,4409070.16725435,6871603.65975479
1010676037,39.6095296,52.5767087,4409312.6656331,6871124.15075448
1010676041,39.6114761,52.5846668,4409529.34902193,6872578.44514074
1010676055,39.6163011,52.5720294,4410066.465565,6870269.1609806
1010676057,39.6109154,52.5819333,4409466.93218344,6872078.88472016
1010676058,39.6126234,52.5839932,4409657.06587371,6872455.33855737
1010676059,39.6122882,52.5863546,4409619.7515804,6872886.91443485
1010676061,39.6060814,52.5797088,4408928.81376494,6871672.36963015
1010676062,39.6076166,52.570921,4409099.71144721,6870066.65038858
1010676063,39.6174767,52.5830039,4410197.33275838,6872274.5383477
1010676066,39.6201612,52.5772276,4410496.16993141,6871218.96848882
1010676069,39.6145027,52.5830686,4409866.26859276,6872286.36251587
1010676070,39.6129388,52.5734724,4409692.17604111,6870532.81248554
1010676072,39.6079878,52.5710556,4409141.03324219,6870091.2422521
1010676073,39.6103647,52.5833671,4409405.62853986,6872340.91473993
1010676074,39.60855,52.5806957,4409203.61705992,6871852.71759642
1010676076,39.6142991,52.5851406,4409843.60394443,6872665.03757906
1010676077,39.611663,52.5855205,4409550.15463476,6872734.46938422
1010676079,39.6080959,52.5821208,4409153.06687915,6872113.15025705
1010676081,39.6028669,52.5826629,4408570.97726179,6872212.21960587
1010676084,39.6130487,52.5762974,4409704.41005315,6871048.9953905
1010676085,39.6104642,52.5821605,4409416.70482919,6872120.40543229
1010676086,39.6118136,52.5747994,4409566.91935007,6870775.27724859
1010676087,39.6144538,52.5844906,4409860.82506966,6872546.24278967
1010676091,39.6104712,52.5837097,4409417.48406563,6872403.52689845
1010676092,39.6038567,52.5816853,4408681.16129378,6872033.56306296
1010676098,39.6160012,52.5781774,4410033.08084971,6871392.52678532
1010676099,39.6133065,52.5836447,4409733.10821787,6872391.64772958
1010676102,39.6094196,52.5816807,4409300.42048911,6872032.72242175
1010676103,39.6122751,52.577647,4409618.29329507,6871295.60557773
1010676106,39.6165553,52.5767962,4410094.76297956,6871140.13940496
1010676107,39.6102193,52.5823758,4409389.4426859,6872159.7516236
1010676109,39.6125525,52.5862058,4409649.17332182,6872859.71865286
1010676111,39.6063457,52.5795991,4408958.23550636,6871652.32309735
1010676116,39.614178,52.5729894,4409830.1231541,6870444.56225837
1010676117,39.6101285,52.5825045,4409379.33487613,6872183.27171088
1010676118,39.6128146,52.5735559,4409678.35016035,6870548.06909383
1010676119,39.6139317,52.5848665,4409802.70516352,6872614.9425143
1010676120,39.6140026,52.5841773,4409810.59771542,6872488.98433352
1010676122,39.6042252,52.5712954,4408722.18252613,6870135.05469023
1010676123,39.6077717,52.5818172,4409116.97710023,6872057.66757357
1010676125,39.6036735,52.5825364,4408660.76756306,6872189.10148683
1010676126,39.6145377,52.5845531,4409870.16477494,6872557.66528864
1010676128,39.6119724,52.5758117,4409584.59688521,6870960.24609551
1010676132,39.6159362,52.5856301,4410025.84508281,6872754.50036225
1010676134,39.6098458,52.583849,4409347.86485609,6872428.98493075
1010676135,39.6050935,52.582341,4408818.84123999,6872153.39189164
1010676139,39.608707,52.5701994,4409221.09421997,6869934.81298426
1010676140,39.6103095,52.5774098,4409399.48370397,6871252.26185944
1010676145,39.6087175,52.5808798,4409222.26307462,6871886.36082903
1010676146,39.613351,52.5836785,4409738.06193521,6872397.82489518
1010676151,39.614553,52.5727615,4409871.86796315,6870402.92237654
1010676152,39.6133968,52.5844984,4409743.16036789,6872547.66831664
1010676154,39.6044444,52.5711661,4408746.58375851,6870111.43102291
1010676155,39.6068226,52.5805313,4409011.32377152,6871822.67454729
1010676156,39.604077,52.5825834,4408705.6849776,6872197.69081967
1010676157,39.6155893,52.5840178,4409987.22835146,6872459.83439974
1010676159,39.614398,52.5748796,4409854.61344208,6870789.93134625
1010676161,39.6148018,52.5854892,4409899.56425246,6872728.7488678
1010676163,39.6115534,52.5857515,4409537.95401856,6872776.68801893
1010727106,39.6334737,52.5982847,4411978.1106526,6875067.64924775
1010727164,39.6257272,52.5926501,4411115.77421717,6874037.61132172
1010727192,39.6279252,52.5938279,4411360.45445793,6874252.90906443
1010727205,39.6293703,52.5950124,4411521.32225408,6874469.43740972
1010727226,39.6323909,52.5973373,4411857.57390797,6874894.44966101
1010727262,39.6222719,52.5903369,4410731.13198063,6873614.78333606
1010727286,39.6273765,52.5934653,4411299.37345333,6874186.62642619
1010727319,39.6309149,52.5962489,4411693.26633956,6874695.47770763
1010727356,39.6346918,52.5991968,4412113.70892434,6875234.398997
1010727374,39.6203545,52.5891406,4410517.68798898,6873396.12141157
1010727397,39.6268222,52.5931207,4411237.66905959,6874123.63466696
1010727416,39.626139,52.5928541,4411161.61558348,6874074.90139562
1010727424,39.6296922,52.5952718,4411557.15599817,6874516.85689715
1010910728,39.6261207,52.5731653,4411159.5784368,6870476.70130667
1010910750,39.6227115,52.5727862,4410780.06802878,6870407.4353326
1010910768,39.6240573,52.5796997,4410929.88179949,6871670.70669798
1010910795,39.6258425,52.5730929,4411128.60935446,6870463.4729391
1010910844,39.6229939,52.5824611,4410811.50465298,6872175.3402984
1010910899,39.627272,52.5743557,4411287.74056655,6870694.20512774
1010910921,39.6264074,52.5732847,4411191.49373481,6870498.51719839
1010911024,39.6273661,52.5742863,4411298.21573063,6870681.52455054
1010911032,39.6233625,52.5814186,4410852.53701729,6871984.82429417
1010945158,39.6205659,52.5707361,4410541.22092934,6870032.86867299
1010945194,39.6232072,52.5728428,4410835.24910037,6870417.77677191
